                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0785,                 1.8308,                 1.5801,                0.59789,                   0.68,                0.68102,                0.46121,                 1.1809,                 2.4478,                 1.8838,             0.00066582,             0.00066582,             0.00066582
                      2,                 1.0174,                  1.425,                 1.5476,                0.93272,                   0.84,                  0.907,                0.64463,                 1.2042,                 1.4652,                 1.9731,              0.0013193,              0.0013193,              0.0013193
                      3,                 1.0454,                 1.3147,                 1.5624,                0.76394,                0.73333,                0.77353,                0.53925,                 1.3555,                 2.2553,                 2.1993,              0.0019596,              0.0019596,              0.0019596
                      4,                 1.0507,                 1.1615,                  1.563,                0.86944,                   0.84,                  0.858,                0.60041,                 1.2913,                 1.4476,                 2.1261,              0.0019406,              0.0019406,              0.0019406
                      5,                0.98376,                 1.0534,                 1.5009,                0.83562,                0.88114,                0.86077,                0.61914,                 1.2308,                 1.0357,                  1.954,              0.0019208,              0.0019208,              0.0019208
                      6,                0.97648,                 1.0313,                 1.4867,                0.73817,                0.77333,                0.78977,                0.52189,                 1.4045,                  2.073,                 2.3807,               0.001901,               0.001901,               0.001901
                      7,                0.99216,                 1.0578,                 1.5114,                0.83276,                0.82667,                 0.8255,                 0.5801,                 1.3871,                 1.1418,                 2.1784,              0.0018812,              0.0018812,              0.0018812
                      8,                0.92595,                0.88369,                 1.4373,                0.72282,                   0.88,                0.83332,                 0.5682,                 1.2929,                 1.1783,                 2.2509,              0.0018614,              0.0018614,              0.0018614
                      9,                0.92467,                0.89936,                   1.45,                0.91698,                   0.72,                0.80745,                0.61181,                 1.2382,                 1.3844,                  1.993,              0.0018416,              0.0018416,              0.0018416
                     10,                0.87382,                0.89281,                 1.4011,                0.71908,                   0.72,                0.71622,                0.50946,                 1.0813,                 1.6551,                  1.884,              0.0018218,              0.0018218,              0.0018218
                     11,                0.88386,                0.75006,                 1.3932,                0.81975,                0.73333,                0.77652,                0.60973,                 1.1667,                 1.1784,                 2.0002,               0.001802,               0.001802,               0.001802
