                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91143,                 1.4932,                 1.4043,                 0.8367,                0.81982,                0.90232,                0.57814,                 1.3895,                 1.8998,                 2.2056,              0.0006633,              0.0006633,              0.0006633
                      2,                0.90453,                 1.1243,                 1.3891,                0.94093,                0.94667,                0.92163,                0.57291,                 1.2988,                  1.357,                 2.4107,              0.0013168,              0.0013168,              0.0013168
                      3,                0.95349,                 1.0689,                 1.4528,                0.71033,                0.73333,                0.76779,                0.57752,                  1.308,                  1.426,                 2.1224,              0.0019571,              0.0019571,              0.0019571
                      4,                0.94118,                0.91985,                 1.4241,                0.86954,                0.77333,                0.81904,                0.60129,                 1.2949,                 1.2126,                 2.0069,              0.0019406,              0.0019406,              0.0019406
                      5,                0.84083,                0.79825,                  1.336,                0.90872,                0.61333,                0.78459,                0.53956,                 1.2743,                 1.3942,                 2.0978,              0.0019208,              0.0019208,              0.0019208
                      6,                0.83264,                0.76384,                 1.3254,                0.88053,                 0.7862,                0.88482,                0.59786,                  1.079,                 1.0857,                 1.8036,               0.001901,               0.001901,               0.001901
                      7,                0.82428,                0.71578,                  1.307,                0.82301,                0.81333,                0.86402,                0.66629,                0.94236,                0.99147,                 1.7998,              0.0018812,              0.0018812,              0.0018812
                      8,                0.77867,                0.66262,                 1.2844,                0.93241,                0.82667,                0.87557,                0.69539,                0.98536,                0.94429,                 1.6879,              0.0018614,              0.0018614,              0.0018614
                      9,                0.76525,                0.64002,                 1.2744,                0.93775,                   0.88,                 0.9124,                0.68207,                 1.0876,                0.69036,                  1.884,              0.0018416,              0.0018416,              0.0018416
                     10,                0.72499,                0.61656,                 1.2432,                0.92185,                0.78643,                0.89496,                0.68959,                 1.0202,                0.76359,                 1.8357,              0.0018218,              0.0018218,              0.0018218
                     11,                0.73322,                0.58638,                 1.2492,                0.93852,                0.89333,                0.91948,                0.78073,                0.78804,                 0.6811,                 1.4681,               0.001802,               0.001802,               0.001802
                     12,                0.70715,                0.58279,                 1.2285,                0.87002,                 0.8925,                0.91427,                0.65799,                 1.2106,                0.70648,                  1.959,              0.0017822,              0.0017822,              0.0017822
                     13,                0.67772,                0.57008,                 1.1891,                0.99713,                0.82667,                0.92802,                 0.7405,                0.90211,                0.60943,                 1.6206,              0.0017624,              0.0017624,              0.0017624
                     14,                0.67122,                0.54173,                 1.1914,                0.89672,                0.94667,                0.91862,                0.70383,                 1.0577,                  0.596,                   1.78,              0.0017426,              0.0017426,              0.0017426
                     15,                0.62347,                0.51981,                 1.1592,                0.84289,                   0.88,                0.91482,                0.72118,                0.90154,                0.73746,                 1.6178,              0.0017228,              0.0017228,              0.0017228
                     16,                0.63474,                0.51609,                 1.1768,                0.88719,                0.83888,                 0.8679,                0.69829,                 0.9097,                  0.666,                 1.5998,               0.001703,               0.001703,               0.001703
                     17,                0.63479,                0.48423,                  1.167,                0.87523,                   0.88,                0.87593,                0.66138,                 1.1681,                0.65079,                 2.1023,              0.0016832,              0.0016832,              0.0016832
                     18,                0.60951,                0.48417,                 1.1588,                0.93893,                   0.88,                0.88631,                0.68909,                0.98769,                 0.6071,                 1.7617,              0.0016634,              0.0016634,              0.0016634
                     19,                0.59552,                0.47526,                 1.1455,                 0.8853,                0.89333,                0.90587,                0.72645,                0.92519,                0.64064,                 1.6888,              0.0016436,              0.0016436,              0.0016436
                     20,                0.58286,                0.46502,                  1.141,                0.93591,                0.82667,                 0.8971,                0.68044,                0.93588,                0.75062,                 1.6818,              0.0016238,              0.0016238,              0.0016238
                     21,                0.56896,                 0.4432,                 1.1262,                0.84195,                0.89333,                0.89952,                 0.7134,                0.99847,                0.60847,                 1.7331,               0.001604,               0.001604,               0.001604
                     22,                0.55224,                0.43157,                 1.1143,                0.88922,                0.89333,                0.90607,                0.71213,                 0.9718,                0.59592,                 1.7587,              0.0015842,              0.0015842,              0.0015842
                     23,                0.55184,                0.42951,                 1.1145,                 0.9402,                0.83851,                0.92483,                0.73971,                0.88566,                0.54195,                 1.7034,              0.0015644,              0.0015644,              0.0015644
                     24,                0.54029,                0.42642,                 1.1043,                0.89025,                   0.88,                0.92521,                0.74484,                0.88401,                 0.6317,                 1.6055,              0.0015446,              0.0015446,              0.0015446
                     25,                0.53538,                0.42408,                 1.1066,                 0.8103,                0.93333,                0.91246,                0.72316,                0.95545,                0.64069,                 1.7213,              0.0015248,              0.0015248,              0.0015248
                     26,                 0.5346,                0.42393,                 1.0958,                0.93421,                0.82667,                0.90604,                0.71975,                0.90283,                0.59188,                 1.6276,               0.001505,               0.001505,               0.001505
                     27,                0.52681,                0.41044,                 1.0972,                 0.9318,                0.89333,                 0.9136,                0.72255,                0.98215,                0.62904,                 1.7677,              0.0014852,              0.0014852,              0.0014852
                     28,                0.53586,                0.42075,                 1.0876,                0.89525,                0.93333,                0.91586,                0.74839,                0.94324,                0.54568,                  1.675,              0.0014654,              0.0014654,              0.0014654
                     29,                0.50495,                0.40317,                 1.0827,                0.93774,                0.82667,                0.91276,                0.70087,                0.96668,                0.72027,                 1.7236,              0.0014456,              0.0014456,              0.0014456
                     30,                0.49814,                0.40011,                 1.0747,                0.89329,                0.89293,                0.90989,                0.72574,                0.89925,                0.59538,                  1.611,              0.0014258,              0.0014258,              0.0014258
                     31,                0.47724,                0.38678,                 1.0654,                0.93112,                 0.9012,                0.92966,                0.75476,                 0.8371,                0.62228,                 1.5558,               0.001406,               0.001406,               0.001406
                     32,                0.48017,                 0.3848,                 1.0667,                0.93637,                   0.88,                0.89865,                0.73196,                  1.066,                0.60193,                 1.9087,              0.0013862,              0.0013862,              0.0013862
                     33,                 0.5002,                 0.3964,                 1.0664,                0.84174,                0.94667,                0.91608,                 0.7671,                0.86983,                0.54988,                 1.6916,              0.0013664,              0.0013664,              0.0013664
                     34,                0.48485,                0.38123,                 1.0676,                0.93831,                   0.84,                0.88086,                 0.7423,                0.83613,                0.57113,                 1.6023,              0.0013466,              0.0013466,              0.0013466
                     35,                0.45408,                0.35357,                 1.0421,                0.94076,                0.89333,                 0.9311,                0.77114,                0.94773,                0.53053,                 1.6996,              0.0013268,              0.0013268,              0.0013268
                     36,                0.43988,                 0.3602,                 1.0285,                 0.9425,                0.89333,                0.93242,                 0.7821,                0.83678,                 0.5091,                 1.5722,               0.001307,               0.001307,               0.001307
                     37,                0.43857,                0.36233,                 1.0353,                0.93623,                   0.88,                0.92541,                0.76092,                0.81785,                  0.514,                 1.5281,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.4313,                0.35596,                 1.0376,                0.89282,                0.93333,                0.92193,                0.72452,                0.91338,                0.57887,                 1.6144,              0.0012674,              0.0012674,              0.0012674
                     39,                0.43424,                 0.3494,                 1.0415,                0.88209,                0.82667,                0.87461,                0.73827,                0.84857,                0.54908,                 1.6109,              0.0012476,              0.0012476,              0.0012476
                     40,                0.42455,                0.35128,                 1.0325,                0.94427,                0.90377,                0.93746,                0.78783,                0.79181,                0.57083,                 1.5088,              0.0012278,              0.0012278,              0.0012278
                     41,                0.41054,                 0.3354,                 1.0186,                0.85392,                0.94667,                0.93501,                0.75297,                0.97828,                0.55349,                 1.7798,               0.001208,               0.001208,               0.001208
                     42,                0.40965,                0.34324,                 1.0167,                0.93413,                0.94538,                0.94158,                0.76956,                0.86811,                0.48013,                 1.6328,              0.0011882,              0.0011882,              0.0011882
                     43,                0.40813,                0.34921,                 1.0242,                0.94324,                0.94667,                0.94644,                0.78612,                0.78371,                0.44586,                 1.4821,              0.0011684,              0.0011684,              0.0011684
                     44,                0.40598,                  0.333,                 1.0244,                 0.9444,                0.90583,                0.94033,                0.81509,                0.76031,                0.54074,                 1.4547,              0.0011486,              0.0011486,              0.0011486
                     45,                0.39793,                 0.3169,                 1.0083,                0.89324,                 0.8925,                0.92182,                0.78414,                0.74777,                0.64503,                 1.4313,              0.0011288,              0.0011288,              0.0011288
                     46,                0.39299,                0.32407,                 1.0041,                0.94357,                0.89175,                0.93518,                 0.7855,                0.81248,                0.53755,                 1.5472,               0.001109,               0.001109,               0.001109
                     47,                0.40983,                0.32555,                 1.0123,                0.84928,                0.94667,                0.92373,                0.77758,                0.80631,                0.62506,                 1.4953,              0.0010892,              0.0010892,              0.0010892
                     48,                0.38773,                0.31591,                  1.003,                0.99534,                   0.84,                0.94292,                0.78104,                0.84261,                 0.5531,                 1.5869,              0.0010694,              0.0010694,              0.0010694
                     49,                0.37434,                0.31464,                0.99858,                0.89162,                0.89333,                0.92089,                  0.756,                0.81078,                0.60669,                 1.5542,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.3674,                0.32343,                 1.0005,                0.93886,                   0.84,                0.87156,                0.73452,                0.82207,                0.63437,                 1.5721,              0.0010298,              0.0010298,              0.0010298
                     51,                0.36199,                0.30425,                0.99355,                0.89323,                0.89235,                0.93722,                0.78246,                0.85659,                 0.4971,                 1.5787,                0.00101,                0.00101,                0.00101
                     52,                0.35813,                0.29209,                0.98834,                 0.9441,                0.94667,                0.94232,                0.79352,                0.85935,                0.44411,                 1.6952,              0.0009902,              0.0009902,              0.0009902
                     53,                0.35988,                0.29352,                0.99024,                0.94029,                0.89333,                0.94264,                0.79854,                0.80385,                0.57757,                 1.4851,              0.0009704,              0.0009704,              0.0009704
                     54,                0.35106,                0.29154,                0.97956,                0.88433,                0.94667,                0.93406,                0.77256,                0.93507,                0.44824,                 1.7182,              0.0009506,              0.0009506,              0.0009506
                     55,                0.33816,                0.28393,                0.97852,                0.84273,                0.94667,                0.90992,                0.77519,                0.88258,                0.54904,                 1.6983,              0.0009308,              0.0009308,              0.0009308
                     56,                0.34622,                0.29082,                0.99099,                0.84024,                0.94667,                0.93042,                0.79129,                0.85149,                0.53641,                  1.635,               0.000911,               0.000911,               0.000911
                     57,                0.33989,                0.27611,                0.97756,                0.89155,                0.89333,                0.92792,                 0.7805,                 0.9012,                0.54466,                 1.6847,              0.0008912,              0.0008912,              0.0008912
                     58,                0.33138,                0.28955,                0.97156,                0.94131,                0.89333,                0.93743,                0.80984,                0.88976,                0.45152,                 1.6694,              0.0008714,              0.0008714,              0.0008714
                     59,                0.33622,                0.28428,                0.96959,                0.94293,                0.94667,                0.94644,                0.83135,                0.71203,                0.49872,                 1.3942,              0.0008516,              0.0008516,              0.0008516
                     60,                0.32925,                0.27003,                0.97657,                 0.9424,                0.89333,                0.93747,                0.78094,                0.81999,                0.56034,                  1.517,              0.0008318,              0.0008318,              0.0008318
                     61,                0.32785,                0.27343,                0.97076,                0.94424,                0.90311,                0.94045,                 0.7762,                0.86759,                0.58346,                  1.583,               0.000812,               0.000812,               0.000812
                     62,                0.31888,                0.26754,                0.97182,                0.99233,                0.82667,                0.94114,                0.81058,                0.80454,                0.50467,                 1.5013,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.3281,                0.28288,                0.96729,                0.94537,                0.94667,                0.94202,                0.81289,                0.82412,                0.44767,                 1.6039,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.3145,                0.26319,                0.96455,                0.89336,                0.94667,                0.92764,                0.80985,                0.68507,                0.56342,                 1.3841,              0.0007526,              0.0007526,              0.0007526
                     65,                0.30587,                0.26488,                0.95893,                0.89675,                0.94667,                0.92725,                0.75416,                0.84174,                0.55449,                  1.588,              0.0007328,              0.0007328,              0.0007328
                     66,                0.29833,                0.26247,                0.95245,                0.89843,                0.94667,                0.92808,                0.78077,                0.77787,                 0.7467,                 1.4409,               0.000713,               0.000713,               0.000713
